house_number,addition,street
7,,Florastraße
34,a,Florastraße
34,b,Florastraße
35,,Florastraße
36,,Florastraße
1,,Golmer Chaussee
3,,Golmer Chaussee
3,a,Golmer Chaussee
5,,Golmer Chaussee
5,a,Golmer Chaussee
9,,Golmer Chaussee
11,,Golmer Chaussee
17,,Golmer Chaussee
18,,Golmer Chaussee
19,,Golmer Chaussee
22,,Golmer Chaussee
24,,Golmer Chaussee
25,,Golmer Chaussee
26,,Golmer Chaussee
27,,Golmer Chaussee
28,,Golmer Chaussee
29,,Golmer Chaussee
30,,Golmer Chaussee
31,,Golmer Chaussee
32,,Golmer Chaussee
33,,Golmer Chaussee
34,,Golmer Chaussee
35,,Golmer Chaussee
36,,Golmer Chaussee
37,,Golmer Chaussee
38,,Golmer Chaussee
38,a,Golmer Chaussee
39,,Golmer Chaussee
43,,Golmer Chaussee
48,,Golmer Chaussee
1,,Grüner Weg
1,a,Grüner Weg
13,a,Grüner Weg
1,,Gutsstraße
3,,Gutsstraße
3,a,Gutsstraße
4,,Gutsstraße
5,,Gutsstraße
6,,Gutsstraße
7,,Gutsstraße
8,,Gutsstraße
9,,Gutsstraße
9,a,Gutsstraße
10,,Gutsstraße
20,a,Gutsstraße
21,,Gutsstraße
22,,Gutsstraße
26,,Gutsstraße
27,,Gutsstraße
28,,Gutsstraße
29,,Gutsstraße
30,,Gutsstraße
31,,Gutsstraße
1,,Heckenstraße
1,a,Heckenstraße
1,b,Heckenstraße
5,a,Heckenstraße
5,b,Heckenstraße
6,,Heckenstraße
18,,Hügelweg
6,a,Heckenstraße
7,,Heckenstraße
7,a,Heckenstraße
7,b,Heckenstraße
7,c,Heckenstraße
7,d,Heckenstraße
7,e,Heckenstraße
8,,Heckenstraße
9,a,Heckenstraße
10,,Heckenstraße
20,,Heckenstraße
21,,Heckenstraße
1,,Herzbergstraße
1,a,Herzbergstraße
1,b,Herzbergstraße
1,c,Herzbergstraße
2,,Herzbergstraße
2,a,Herzbergstraße
3,,Herzbergstraße
4,,Herzbergstraße
5,,Herzbergstraße
5,a,Herzbergstraße
5,b,Herzbergstraße
6,,Herzbergstraße
1,,Hugstraße
2,,Hugstraße
3,,Hugstraße
4,,Hugstraße
5,,Hugstraße
6,,Hugstraße
7,,Hugstraße
7,a,Hugstraße
1,,Lindstedter Chaussee
6,,Lindstedter Chaussee
2,,Max-Eyth-Allee
3,,Max-Eyth-Allee
4,,Max-Eyth-Allee
5,,Max-Eyth-Allee
6,,Max-Eyth-Allee
7,,Max-Eyth-Allee
8,,Max-Eyth-Allee
8,a,Max-Eyth-Allee
8,b,Max-Eyth-Allee
9,,Max-Eyth-Allee
10,,Max-Eyth-Allee
11,,Max-Eyth-Allee
12,,Max-Eyth-Allee
13,,Max-Eyth-Allee
17,,Max-Eyth-Allee
19,,Max-Eyth-Allee
21,,Max-Eyth-Allee
